,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
xgb_100_5_0.05,351.5338491214437,270.0254870269837,349.9465523268887,355.2405369750407,286.50297829054284,322.64988074817995
xgb_100_5_0.1,351.22320330943364,258.8412828336381,345.1276711971581,346.5712973207325,255.23082917488014,311.3988567671685
xgb_100_5_0.2,347.4731986603359,274.3985070914238,385.67981520347894,334.93782503172565,300.75221873759557,328.64831294491194
xgb_100_5_0.5,544.5982568437122,272.21094080803346,364.4018163906977,372.7038447009375,276.4625234606179,366.0754764407997
xgb_100_7_0.05,351.0284752371168,271.2887848050002,349.5542122811324,359.01223568207115,293.4912693787421,324.87499547681256
xgb_100_7_0.1,334.9363169217484,265.05923092777886,348.16420653256205,362.23473628674157,264.3496015179992,314.948818437366
xgb_100_7_0.2,361.64404194564224,268.59231957515186,373.83257443744543,345.9922278947003,319.2728688033944,333.8668065312669
xgb_100_7_0.5,514.9400213737458,354.84381818697244,369.74105045551323,381.3417175317086,292.2802138316469,382.6293642759174
xgb_250_2_0.05,321.9494405364341,237.53292624169197,363.76784146353873,356.172825818644,256.1125941051902,307.1071256330998
xgb_250_2_0.1,316.17410939964145,247.67143821511874,372.71539281213126,366.50887092085077,250.0576880083821,310.62549987122486
xgb_250_2_0.2,322.238668718998,240.71154848640262,373.7698417288231,354.07537204211513,277.25450254496695,313.60998670426113
xgb_250_2_0.5,413.0196631501394,318.36703842613906,362.09567018754655,413.5912099356785,289.2430057125864,359.263317482418
xgb_250_3_0.05,303.68314730799375,241.2857233748355,352.5871589827449,349.2142518766401,252.22513280187698,299.79908286881823
xgb_250_3_0.1,332.7634483493234,239.76654850812247,354.08112320086053,352.76332673827704,245.08917525496338,304.89272441030937
xgb_250_3_0.2,324.17224638360346,254.88100186725083,373.61292963377,364.1496819142012,316.47880048713205,326.65893205719146
xgb_250_3_0.5,496.25906010907096,321.48252726012925,381.3652012550735,376.90994522376155,308.3396402962699,376.87127482886103
xgb_250_5_0.05,337.2650595121117,262.9648128619318,361.11797914098645,353.6890537222602,285.1967557191807,320.04673219129415
xgb_250_5_0.1,351.003045529889,258.60952929559323,345.2780134264413,346.6546133835832,255.0896901659223,311.3269783602858
xgb_250_5_0.2,347.4741454120906,274.39253934840514,385.67780639825526,334.93752567984296,300.7498212559006,328.64636761889886
xgb_250_5_0.5,544.5982568437122,272.21094080803346,364.4018163906977,372.7038447009375,276.4625234606179,366.0754764407997
xgb_250_7_0.05,330.1923379651493,261.20489565550776,361.3492979914714,358.31009171356686,292.71570106349105,320.7544648778373
xgb_250_7_0.1,333.63897407367585,264.5030759006919,348.4833546177642,362.2307181170997,264.29990413282667,314.63120536841166
xgb_250_7_0.2,361.64006006212855,268.5911921677893,373.8337066418338,345.9926729111289,319.2734829669966,333.8662229499754
xgb_250_7_0.5,514.9400213737458,354.84381818697244,369.74105045551323,381.3417175317086,292.2802138316469,382.6293642759174
xgb_500_2_0.05,331.2743961477619,236.1436819954233,370.2501949673498,356.5280318541278,260.2466050078577,310.8885819945041
xgb_500_2_0.1,317.6670334376923,247.98883434439202,373.3139872740453,365.61403081490084,250.37231101545225,310.9912393772965
xgb_500_2_0.2,322.250184165814,240.759364862595,373.71735726881036,354.031074778536,277.0758663240969,313.56676947997045
xgb_500_2_0.5,413.0196631501394,318.36703842613906,362.0956605655072,413.5912099356785,289.2429776242152,359.2633099403359
xgb_500_3_0.05,304.3811261635377,241.00340456155394,352.43322058477247,349.06674023086947,253.4811039743106,300.0731191030088
xgb_500_3_0.1,332.9359858820752,239.7160521892726,354.0563976781677,352.7538360241578,245.24612719278844,304.94167979329234
xgb_500_3_0.2,324.17284286934444,254.88082895414016,373.6133966592712,364.14814769666856,316.4803195283126,326.6591071415474
xgb_500_3_0.5,496.25906010907096,321.48252726012925,381.3652012550735,376.90994522376155,308.3396402962699,376.87127482886103
xgb_500_5_0.05,337.2988777169914,262.929303088691,361.2090198370836,353.66614237126896,285.1267559622211,320.0460197952512
xgb_500_5_0.1,351.00343429189695,258.61007700595303,345.2785958339401,346.65451530499405,255.0893097626986,311.32718643989654
xgb_500_5_0.2,347.4741454120906,274.39253934840514,385.67780639825526,334.9385750774895,300.7498212559006,328.6465774984282
xgb_500_5_0.5,544.5982568437122,272.21094080803346,364.4018163906977,372.7038447009375,276.4625234606179,366.0754764407997
xgb_500_7_0.05,329.8773754583967,261.0649442780543,361.4613266571345,358.31718247530296,292.7187787906415,320.687921531906
xgb_500_7_0.1,333.63628504498433,264.5023393912675,348.48336664076896,362.2329540044372,264.2992859655823,314.6308462094081
xgb_500_7_0.2,361.64006006212855,268.5911921677893,373.8337066418338,345.9926729111289,319.2734829669966,333.8662229499754
xgb_500_7_0.5,514.9400213737458,354.84381818697244,369.74105045551323,381.3417175317086,292.2802138316469,382.6293642759174
