,RMSE_1,RMSE_2,RMSE_3,RMSE_4,RMSE_5,MEAN_RMSE
gb_250_5_0.1,246.9484873880017,250.426935278844,369.9271385320419,331.5891376925713,242.40528174741547,288.2593961277749
gb_250_5_0.2,263.20818491796337,274.4871406342675,375.82879979159725,361.41936286880474,264.7912344174465,307.9469445260159
gb_250_5_0.5,254.53417412285228,266.20289047361103,418.9480697160118,409.8227616485318,265.4094622222624,322.98347163665386
gb_250_7_0.05,235.1363575806396,251.92323948172822,372.31378581003906,332.79004197078757,250.37471805804037,288.50762858024694
gb_250_7_0.1,246.9484873880017,250.426935278844,369.9271385320419,331.5891376925713,242.40528174741547,288.2593961277749
gb_250_7_0.2,263.20818491796337,274.4871406342675,375.82879979159725,361.41936286880474,264.7912344174465,307.9469445260159
gb_250_7_0.5,254.53417412285228,266.20289047361103,418.9480697160118,409.8227616485318,265.4094622222624,322.98347163665386
gb_500_2_0.05,257.12895550975844,262.6840512782335,383.6585534195146,347.12469110852356,258.7568391841249,301.87061810003104
gb_500_2_0.1,271.3815690114075,261.8124897158024,389.375077114865,358.3495612549488,251.69518609708706,306.52277663882217
gb_500_2_0.2,269.0408360097616,264.7936123930928,405.91486058143215,347.93383876535955,254.37138207564465,308.4109059650581
gb_500_2_0.5,310.17313379013046,285.5615902642315,343.3533889910567,327.16661829110956,315.4878722972407,316.3485207267538
gb_500_3_0.05,255.0587300421902,254.21077638061126,381.20912220553487,336.2774152445296,255.87176053847168,296.52556088226754
gb_500_3_0.1,262.35137957191364,259.00052283631584,373.89740343204863,341.3552313045579,253.60478235919902,298.041863900807
gb_500_3_0.2,250.31918724866065,279.3819079367215,380.76914342834925,360.1904320956913,276.0530179736633,309.3427377366172
gb_500_3_0.5,252.31987711006516,254.7608330229437,392.465693469822,406.28056701831696,284.2719516886435,318.01978446195824
gb_500_5_0.05,243.24548551884496,253.94449915980348,370.8816919592362,333.759278615606,249.8445853640695,290.335108123512
gb_500_5_0.1,252.1012355674764,253.37941592985732,372.44172466691214,331.0226529451569,243.56005190251247,290.501016202383
gb_500_5_0.2,265.14122463374923,275.40981077814706,377.3156208367756,361.38600080930826,266.2353994740038,309.0976113063968
gb_500_5_0.5,254.54953372170624,266.2092069535131,418.96364046470234,409.82278568971515,265.4173336596855,322.9925000978645
gb_500_7_0.05,243.24548551884496,253.94449915980348,370.8816919592362,333.759278615606,249.8445853640695,290.335108123512
gb_500_7_0.1,252.1012355674764,253.37941592985732,372.44172466691214,331.0226529451569,243.56005190251247,290.501016202383
gb_500_7_0.2,265.14122463374923,275.40981077814706,377.3156208367756,361.38600080930826,266.2353994740038,309.0976113063968
gb_500_7_0.5,254.54953372170624,266.2092069535131,418.96364046470234,409.82278568971515,265.4173336596855,322.9925000978645
